Group_Combined,Group,Subgroup,Year,Metric,Value
College of Liberal Arts & Social Sciences — appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,College of Liberal Arts & Social Sciences,appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,2023,Full-Time Teaching Faculty (N),2021
College of Liberal Arts & Social Sciences — appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,College of Liberal Arts & Social Sciences,appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,2024,Full-Time Teaching Faculty (N),2024
School of Business — Accounting,School of Business,Accounting,2019,Full-Time Teaching Faculty (N),16
School of Business — Accounting,School of Business,Accounting,2020,Full-Time Teaching Faculty (N),15
School of Business — Accounting,School of Business,Accounting,2021,Full-Time Teaching Faculty (N),15
School of Business — Accounting,School of Business,Accounting,2022,Full-Time Teaching Faculty (N),13
School of Business — Accounting,School of Business,Accounting,2023,Full-Time Teaching Faculty (N),12
School of Business — Accounting,School of Business,Accounting,2024,Full-Time Teaching Faculty (N),12
School of Business — Finance,School of Business,Finance,2019,Full-Time Teaching Faculty (N),9
School of Business — Finance,School of Business,Finance,2020,Full-Time Teaching Faculty (N),9
School of Business — Finance,School of Business,Finance,2021,Full-Time Teaching Faculty (N),9
School of Business — Finance,School of Business,Finance,2022,Full-Time Teaching Faculty (N),7
School of Business — Finance,School of Business,Finance,2023,Full-Time Teaching Faculty (N),8
School of Business — Finance,School of Business,Finance,2024,Full-Time Teaching Faculty (N),9
School of Business — Management,School of Business,Management,2019,Full-Time Teaching Faculty (N),11
School of Business — Management,School of Business,Management,2020,Full-Time Teaching Faculty (N),12
School of Business — Management,School of Business,Management,2021,Full-Time Teaching Faculty (N),13
School of Business — Management,School of Business,Management,2022,Full-Time Teaching Faculty (N),12
School of Business — Management,School of Business,Management,2023,Full-Time Teaching Faculty (N),11
School of Business — Management,School of Business,Management,2024,Full-Time Teaching Faculty (N),12
School of Business — Management Information Systems,School of Business,Management Information Systems,2019,Full-Time Teaching Faculty (N),7
School of Business — Management Information Systems,School of Business,Management Information Systems,2020,Full-Time Teaching Faculty (N),6
School of Business — Management Information Systems,School of Business,Management Information Systems,2021,Full-Time Teaching Faculty (N),5
School of Business — Management Information Systems,School of Business,Management Information Systems,2022,Full-Time Teaching Faculty (N),5
School of Business — Management Information Systems,School of Business,Management Information Systems,2023,Full-Time Teaching Faculty (N),5
School of Business — Management Information Systems,School of Business,Management Information Systems,2024,Full-Time Teaching Faculty (N),5
School of Business — Marketing,School of Business,Marketing,2019,Full-Time Teaching Faculty (N),8
School of Business — Marketing,School of Business,Marketing,2020,Full-Time Teaching Faculty (N),9
School of Business — Marketing,School of Business,Marketing,2021,Full-Time Teaching Faculty (N),9
School of Business — Marketing,School of Business,Marketing,2022,Full-Time Teaching Faculty (N),9
School of Business — Marketing,School of Business,Marketing,2023,Full-Time Teaching Faculty (N),9
School of Business — Marketing,School of Business,Marketing,2024,Full-Time Teaching Faculty (N),9
School of Business — Total,School of Business,Total,2019,Full-Time Teaching Faculty (N),51
School of Business — Total,School of Business,Total,2020,Full-Time Teaching Faculty (N),51
School of Business — Total,School of Business,Total,2021,Full-Time Teaching Faculty (N),51
School of Business — Total,School of Business,Total,2022,Full-Time Teaching Faculty (N),46
School of Business — Total,School of Business,Total,2023,Full-Time Teaching Faculty (N),45
School of Business — Total,School of Business,Total,2024,Full-Time Teaching Faculty (N),47
