Group_Combined,Group,Subgroup,Year,Metric,Value
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2014,Headcount (N),952
Grand Total — Other,Grand Total,Other,2014,Headcount (N),647
Grand Total — Total,Grand Total,Total,2014,Headcount (N),1599
Graduate Assistants — All,Graduate Assistants,All,2014,Graduate Assistants (N),79
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2015,Headcount (N),450
Full-Time — Other,Full-Time,Other,2015,Headcount (N),526
Full-Time — Total,Full-Time,Total,2015,Headcount (N),976
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2015,Headcount (N),499
Part-Time — Other,Part-Time,Other,2015,Headcount (N),131
Part-Time — Total,Part-Time,Total,2015,Headcount (N),630
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2015,Headcount (N),949
Grand Total — Other,Grand Total,Other,2015,Headcount (N),657
Grand Total — Total,Grand Total,Total,2015,Headcount (N),1606
Graduate Assistants — All,Graduate Assistants,All,2015,Graduate Assistants (N),79
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2016,Headcount (N),446
Full-Time — Other,Full-Time,Other,2016,Headcount (N),526
Full-Time — Total,Full-Time,Total,2016,Headcount (N),972
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2016,Headcount (N),489
Part-Time — Other,Part-Time,Other,2016,Headcount (N),138
Part-Time — Total,Part-Time,Total,2016,Headcount (N),627
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2016,Headcount (N),935
Grand Total — Other,Grand Total,Other,2016,Headcount (N),664
Grand Total — Total,Grand Total,Total,2016,Headcount (N),1599
Graduate Assistants — All,Graduate Assistants,All,2016,Graduate Assistants (N),71
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2017,Headcount (N),448
Full-Time — Other,Full-Time,Other,2017,Headcount (N),500
Full-Time — Total,Full-Time,Total,2017,Headcount (N),948
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2017,Headcount (N),485
Part-Time — Other,Part-Time,Other,2017,Headcount (N),137
Part-Time — Total,Part-Time,Total,2017,Headcount (N),622
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2017,Headcount (N),933
Grand Total — Other,Grand Total,Other,2017,Headcount (N),637
Grand Total — Total,Grand Total,Total,2017,Headcount (N),1570
Graduate Assistants — All,Graduate Assistants,All,2017,Graduate Assistants (N),74
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2018,Headcount (N),448
Full-Time — Other,Full-Time,Other,2018,Headcount (N),501
Full-Time — Total,Full-Time,Total,2018,Headcount (N),949
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2018,Headcount (N),529
Part-Time — Other,Part-Time,Other,2018,Headcount (N),125
Part-Time — Total,Part-Time,Total,2018,Headcount (N),654
