,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,Description,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gender,,,,,,M,,,W,,,All,,,"In Spring 2025, the university enrolled 2,319 students overall, with women (W) outnumbering men (M). CLASS (College of Liberal Arts & Social Sciences) enrolled 703 students, SEST (School of Engineering, Science, & Technology) had 608, BS (School of Business) had 455, CHRS (College of Health & Rehabilitation Sciences) enrolled 293, and ED (School of Education) had 260. Degree codes include BA/BS (Bachelor of Arts/Science), MA/MS (Master of Arts/Science), MBA (Master of Business Administration), BGS (Bachelor of General Studies), ED.D (Doctor of Education), DNAP (Doctor of Nurse Anesthesia Practice), GRADCERT/OCP (Graduate or Post-BA Certificate), and SYC/PM CERT (Sixth Year/Post-Master’s Certificate).",,,,,,,,,,,,
School,,Program Name,,,Degree_,,,,,,Degreecde,,,,,,OHEcde,,,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEST,,Cybersecurity,,,Bachelors,,,,,,BS,,,,,,19464,,,111003,,,,,,19,,,,,,19,,,,,,,,,,,,,,,
SEST,,Data Science,,,Master's,,,,,,MS,,,,,,09328,,,303001,,,,,,7,,,10,,,17,,,,,,,,,,,,,,,
SEST,,Data Science,,,Post-BA-Cert,,,,,,OCP,,,,,,09289,,,303001,,,,,,6,,,7,,,13,,,,,,,,,,,,,,,
SEST,,Earth Science,,,Bachelors,,,,,,BS,,,,,,00092,,,400601,,,,,,6,,,3,,,9,,,,,,,,,,,,,,,
SEST,,Electrical Engineering,,,Bachelors,,,,,,BS,,,,,,19943,,,141001,,,,,,2,,,,,,2,,,,,,,,,,,,,,,
SEST,,Electronics Technology,,,Bachelors,,,,,,BS,,,,,,09933,,,150303,,,,,,3,,,,,,3,,,,,,,,,,,,,,,
SEST,,Environmental and Occupational Safety,,,Post-BA-Cert,,,,,,OCP,,,,,,14629,,,512202,,,,,,3,,,1,,,4,,,,,,,,,,,,,,,
SEST,,General Studies,,,Bachelors,,,,,,BGS,,,,,,20405,,,240102,,,,,,8,,,5,,,13,,,,,,,,,,,,,,,
SEST,,Graphics Technology,,,Bachelors,,,,,,BS,,,,,,17362,,,110801,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,
SEST,,Lean Manufact. and Six Sigma,,,Post-BA-Cert,,,,,,OCP,,,,,,14630,,,150702,,,,,,4,,,2,,,6,,,,,,,,,,,,,,,
SEST,,Manufacturing Engineering Technology,,,Bachelors,,,,,,BS,,,,,,02365,,,150613,,,,,,11,,,3,,,14,,,,,,,,,,,,,,,
SEST,,Manufacturing Management,,,Bachelors,,,,,,BS,,,,,,18000,,,520205,,,,,,12,,,,,,12,,,,,,,,,,,,,,,
