,,,,,,Year,2020-21,2021-22,2022-23,2023-24,2024-25,,,Description,,,,,,,,,,,,,,,,
CLASS,Philosophy,"Social Justice, Ethics, & Law",Bachelors,BA,00088,380101,,,,,1,,,,,,,,,,,,,,,,,,,
CLASS,Philosophy,Total,Total,Total,Total,Total,5,4,3,,4,,,,,,,,,,,,,,,,,,,
CLASS,Political Science,,Bachelors,BA,00109,451001,14,7,5,6,3,,,,,,,,,,,,,,,,,,,
CLASS,Political Science,Political Science: General,Bachelors,BA,00109,451001,8,5,11,7,14,,,,,,,,,,,,,,,,,,,
CLASS,Political Science,PS-Legal Studies,Bachelors,BA,00109,451001,3,3,9,11,8,,,,,,,,,,,,,,,,,,,
CLASS,Political Science,Public Administration,Bachelors,BA,00109,451001,,2,4,,2,,,,,,,,,,,,,,,,,,,
CLASS,Political Science,Public Policy and Management,Bachelors,BA,00109,451001,,,,,2,,,,,,,,,,,,,,,,,,,
CLASS,Political Science,Total,Total,Total,Total,Total,25,17,29,24,29,,,,,,,,,,,,,,,,,,,
CLASS,Psychological Science,,Bachelors,BA,00098,420101,131,115,148,126,123,,,,,,,,,,,,,,,,,,,
CLASS,Psychological Science,Clinical Professional Counslng,Bachelors,BA,00098,420101,,,1,,,,,,,,,,,,,,,,,,,,,
CLASS,Psychological Science,Total,Total,Total,Total,Total,131,115,149,126,123,,,,,,,,,,,,,,,,,,,
CLASS,Psychology,Community Psychology,Master's,MA,00099,420101,2,2,1,1,3,,,,,,,,,,,,,,,,,,,
CLASS,Psychology,General Psychology,Master's,MA,00099,420101,3,5,3,7,4,,,,,,,,,,,,,,,,,,,
CLASS,Psychology,Health Psychology,Master's,MA,00099,420101,5,5,11,2,7,,,,,,,,,,,,,,,,,,,
CLASS,Psychology,Total,Total,Total,Total,Total,10,12,15,10,14,,,,,,,,,,,,,,,,,,,
CLASS,Public History,,Master's,MA,09702,540105,2,4,4,8,4,,,,,,,,,,,,,,,,,,,
CLASS,Public History,Total,Total,Total,Total,Total,2,4,4,8,4,,,,,,,,,,,,,,,,,,,
CLASS,Public Relations/Promotions,,Post-BA-Cert,OCP,14632,090902,,,,1,2,,,,,,,,,,,,,,,,,,,
CLASS,Public Relations/Promotions,Total,Total,Total,Total,Total,,,,1,2,,,,,,,,,,,,,,,,,,,
CLASS,Racial Justice,,Cert-Below Bachelors,C1,20623,302301,,2,3,4,14,,,,,,,,,,,,,,,,,,,
CLASS,Racial Justice,Total,Total,Total,Total,Total,,2,3,4,14,,,,,,,,,,,,,,,,,,,
CLASS,Sociology,,Bachelors,BA,00110,451101,32,34,24,29,29,,,,,,,,,,,,,,,,,,,
CLASS,Sociology,Total,Total,Total,Total,Total,32,34,24,29,29,,,,,,,,,,,,,,,,,,,
CLASS,Spanish,,Bachelors,BA,00076,160905,6,3,,2,1,,,,,,,,,,,,,,,,,,,
CLASS,Spanish,,Bachelors,BS_Teach,00076,160905,1,3,5,4,2,,,,,,,,,,,,,,,,,,,
CLASS,Spanish,Inter-University Spanish Lang,Bachelors,BA,00076,160905,3,,,1,1,,,,,,,,,,,,,,,,,,,
CLASS,Spanish,Total,Total,Total,Total,Total,10,6,5,7,4,,,,,,,,,,,,,,,,,,,
CLASS,Special Studies,,Bachelors,BA,00087,309999,1,,,2,1,,,,,,,,,,,,,,,,,,,
CLASS,Special Studies,Total,Total,Total,Total,Total,1,,,2,1,,,,,,,,,,,,,,,,,,,
CLASS,Strategic Communication,,Master's,MS,02522,090901,5,8,9,8,12,,,,,,,,,,,,,,,,,,,
CLASS,Strategic Communication,Organizational Communication,Bachelors,BA,18107,090900,26,16,17,13,12,,,,,,,,,,,,,,,,,,,
CLASS,Strategic Communication,Public Relations/Promotions,Bachelors,BA,18107,090900,31,29,22,30,27,,,,,,,,,,,,,,,,,,,
CLASS,Strategic Communication,Total,Total,Total,Total,Total,62,53,48,51,51,,,,,,,,,,,,,,,,,,,
CLASS,TESOL,,Post-BA-Cert,GRADCERT,10609,131401,3,1,,1,2,,,,,,,,,,,,,,,,,,,
CLASS,TESOL,,Post-BA-Cert,OCP,15703,131401,,,,3,3,,,,,,,,,,,,,,,,,,,
CLASS,TESOL,Total,Total,Total,Total,Total,3,1,,4,5,,,,,,,,,,,,,,,,,,,
CLASS,Theatre,,Bachelors,BA,00111,500501,1,5,4,2,3,,,,,,,,,,,,,,,,,,,
CLASS,Theatre,Performance,Bachelors,BFA,00111,500501,5,7,2,4,5,,,,,,,,,,,,,,,,,,,
CLASS,Theatre,"Technology, Design & Productn",Bachelors,BFA,00111,500501,,3,2,2,3,,,,,,,,,,,,,,,,,,,
CLASS,Theatre,Total,Total,Total,Total,Total,6,15,8,8,11,,,,,,,,,,,,,,,,,,,
CLASS,Tourism & Hospitality Studies,,Bachelors,BS,04091,520901,12,15,13,8,3,,,,,,,,,,,,,,,,,,,
CLASS,Tourism & Hospitality Studies,Total,Total,Total,Total,Total,12,15,13,8,3,,,,,,,,,,,,,,,,,,,
CLASS,World Languages,,Master's,MA,00074,160101,,,,,3,,,,,,,,,,,,,,,,,,,
CLASS,World Languages,Hispano N.A. Univ: Span L&C,Master's,MA,00074,160101,,,,,4,,,,,,,,,,,,,,,,,,,
CLASS,World Languages,Hispano N.A. Univ:Span L&C,Master's,MA,00074,160101,8,3,8,8,,,,,,,,,,,,,,,,,,,,
CLASS,World Languages,Ital.or Span. for Cert. Tchers,Master's,MA,00074,160101,1,,,,,,,,,,,,,,,,,,,,,,,
CLASS,World Languages,Italian,Master's,MA,00074,160101,2,1,,1,,,,,,,,,,,,,,,,,,,,
CLASS,World Languages,Spanish,Master's,MA,00074,160101,2,2,2,,,,,,,,,,,,,,,,,,,,,
CLASS,World Languages,Spanish (Online),Master's,MA,00074,160101,,,2,1,,,,,,,,,,,,,,,,,,,,
CLASS,World Languages,Total,Total,Total,Total,Total,13,6,12,10,7,,,,,,,,,,,,,,,,,,,
CLASS,Total,Total,Total,Total,Total,Total,738,706,769,663,703,,,,,,,,,,,,,,,,,,,
BS,Accounting,,Bachelors,BS,00036,520301,116,91,97,76,60,,,,,,,,,,,,,,,,,,,
BS,Accounting,,Master's,MS,18549,520301,13,5,2,4,3,,,,,,,,,,,,,,,,,,,
BS,Accounting,,Post-BA-Cert,OCP,19351,520301,4,,,,,,,,,,,,,,,,,,,,,,,
BS,Accounting,Business Analytics,Bachelors,BS,00036,520301,1,,,,,,,,,,,,,,,,,,,,,,,
BS,Accounting,Business Analytics,Master's,MS,18549,520301,9,17,12,2,,,,,,,,,,,,,,,,,,,,
BS,Accounting,General-Accounting,Master's,MS,18549,520301,13,19,20,25,30,,,,,,,,,,,,,,,,,,,
BS,Accounting,Total,Total,Total,Total,Total,156,132,131,107,93,,,,,,,,,,,,,,,,,,,
BS,Accounting Analytics,,Post-BA-Cert,OCP,20602,307199,,,,11,6,,,,,,,,,,,,,,,,,,,
BS,Accounting Analytics,Total,Total,Total,Total,Total,,,,11,6,,,,,,,,,,,,,,,,,,,
BS,Business,,Bachelors,BS,21384,520101,,,,,6,,,,,,,,,,,,,,,,,,,
BS,Business,Total,Total,Total,Total,Total,,,,,6,,,,,,,,,,,,,,,,,,,
BS,Business Administration (MBA),,Master's,MBA,02816,520305,92,74,86,70,74,,,,,,,,,,,,,,,,,,,
BS,Business Administration (MBA),Total,Total,Total,Total,Total,92,74,86,70,74,,,,,,,,,,,,,,,,,,,
BS,Business Analytics,,Post-BA-Cert,OCP,22039,307102,,,,2,2,,,,,,,,,,,,,,,,,,,
BS,Business Analytics,Total,Total,Total,Total,Total,,,,2,2,,,,,,,,,,,,,,,,,,,
BS,Business Leadership,,Post-BA-Cert,OCP,19978,520213,,,26,6,19,,,,,,,,,,,,,,,,,,,
BS,Business Leadership,Total,Total,Total,Total,Total,,,26,6,19,,,,,,,,,,,,,,,,,,,
BS,Commercial Lending,,Post-BA-Cert,OCP,20237,520809,,,,2,1,,,,,,,,,,,,,,,,,,,
BS,Commercial Lending,Total,Total,Total,Total,Total,,,,2,1,,,,,,,,,,,,,,,,,,,
BS,Finance,,Bachelors,BS,02650,520801,64,62,58,57,62,,,,,,,,,,,,,,,,,,,
BS,Finance,General Finance,Bachelors,BS,02650,520801,3,7,7,16,15,,,,,,,,,,,,,,,,,,,
BS,Finance,Personal Financial Planning,Bachelors,BS,02650,520801,3,1,3,5,1,,,,,,,,,,,,,,,,,,,
BS,Finance,Total,Total,Total,Total,Total,70,70,68,78,78,,,,,,,,,,,,,,,,,,,
BS,General Studies,,Bachelors,BGS,20405,240102,,1,9,9,6,,,,,,,,,,,,,,,,,,,
BS,General Studies,Total,Total,Total,Total,Total,,1,9,9,6,,,,,,,,,,,,,,,,,,,
BS,Management,,Bachelors,BS,00037,520201,13,28,36,29,30,,,,,,,,,,,,,,,,,,,
BS,Management,Entrepreneurship,Bachelors,BS,00037,520201,10,8,14,7,7,,,,,,,,,,,,,,,,,,,
BS,Management,General Management,Bachelors,BS,00037,520201,67,26,36,20,29,,,,,,,,,,,,,,,,,,,
BS,Management,Human Resources,Bachelors,BS,00037,520201,19,14,12,6,10,,,,,,,,,,,,,,,,,,,
BS,Management,International Business,Bachelors,BS,00037,520201,,,1,,,,,,,,,,,,,,,,,,,,,
BS,Management,Total,Total,Total,Total,Total,109,76,99,62,76,,,,,,,,,,,,,,,,,,,
BS,Management Information Systems,,Bachelors,BS,02380,110401,4,3,16,23,34,,,,,,,,,,,,,,,,,,,
BS,Management Information Systems,Business Analytics,Bachelors,BS,02380,110401,19,18,9,3,1,,,,,,,,,,,,,,,,,,,
BS,Management Information Systems,Business Application Develpmnt,Bachelors,BS,02380,110401,,1,,,,,,,,,,,,,,,,,,,,,,
BS,Management Information Systems,Enterps Resource Planning Syst,Bachelors,BS,02380,110401,6,7,,,,,,,,,,,,,,,,,,,,,,
BS,Management Information Systems,General,Bachelors,BS,02380,110401,3,,,,,,,,,,,,,,,,,,,,,,,
BS,Management Information Systems,Individualized,Bachelors,BS,02380,110401,,1,2,4,1,,,,,,,,,,,,,,,,,,,
BS,Management Information Systems,Informtn Securty & Infrastrctr,Bachelors,BS,02380,110401,6,5,2,1,1,,,,,,,,,,,,,,,,,,,
BS,Management Information Systems,Total,Total,Total,Total,Total,38,35,29,31,37,,,,,,,,,,,,,,,,,,,
BS,Marketing,,Bachelors,BS,00039,521401,76,63,58,65,55,,,,,,,,,,,,,,,,,,,
BS,Marketing,Total,Total,Total,Total,Total,76,63,58,65,55,,,,,,,,,,,,,,,,,,,
BS,Project Management,,Cert-Below Bachelors,BS,22272,111005,,,,,2,,,,,,,,,,,,,,,,,,,
BS,Project Management,Total,Total,Total,Total,Total,,,,,2,,,,,,,,,,,,,,,,,,,
BS,Supply Chain Analytics,,Post-BA-Cert,OCP,19446,521301,3,1,,,,,,,,,,,,,,,,,,,,,,
